text,annotations
i would not recommend this as a primary chromebook or even to buy it at all .,"[('chromebook', 'laptop general', 'negative', 'not recommend')]"
update - this thing frustrated me so much over the past month that i just threw it in the trash ( where it belongs ) .,"[('null', 'laptop general', 'negative', 'frustrated')]"
"personally , i would steer clear of this chromebook .","[('chromebook', 'laptop general', 'negative', 'null')]"
it started to get slow a week ago .,"[('null', 'laptop operation performance', 'negative', 'slow')]"
now the curser / track pad is gone .,"[('curser / track pad', 'hardware operation performance', 'negative', 'null')]"
terrible product .,"[('product', 'laptop general', 'negative', 'terrible')]"
"if you use wix to edit websites the scroll bar will not appear once you enter editor page , thus making it impossible to design / build / update websites .","[('wix', 'software usability', 'negative', 'null')]"
i was disappointed with the touch pad would stick and when it broke loose it over shot the target .,"[('touch pad', 'keyboard operation performance', 'negative', 'disappointed')]"
do not buy this machine if you ' re hoping to run android apps .,"[('machine', 'laptop usability', 'negative', 'null')]"
after charging the unit for 2 hours i discovered that the unit will only operate while the charger is connected .,"[('unit', 'laptop operation performance', 'negative', 'null')]"
keys are a bit thin and have an odd feel to them .,"[('keys', 'keyboard design features', 'negative', 'thin')]"
this unit is a great compromise between powerful cpu and gpu with good battery life .,"[('cpu', 'cpu operation performance', 'positive', 'powerful')]"
- timeout on keyboard backlight not adjustable .,"[('keyboard', 'keyboard usability', 'negative', 'not adjustable')]"
acer refused to pay for shipping it back to them for warranty repairs .,"[('acer', 'support quality', 'negative', 'null')]"
"that seemed to correct problem , but problem returned next day and the battery would only charge up to 1 % with charger plugged in .","[('battery', 'battery operation performance', 'negative', 'null')]"
monitor went out 35 days after receiving .,"[('monitor', 'display quality', 'negative', 'null')]"
powered it down and back up a few time to check boot times and now ibhave huge black lines running down the screen .,"[('screen', 'display operation performance', 'negative', 'null')]"
display driver fails 3x a day .,"[('display driver', 'display quality', 'negative', 'fails')]"
loses wifi connection every hour .,"[('wifi', 'ports operation performance', 'negative', 'null')]"
"they are simply unreliable , poorly made laptops .","[('laptops', 'laptop general', 'negative', 'unreliable')]"
its a hardware issue .,"[('null', 'hardware quality', 'negative', 'null')]"
"the picture was very bright and clear , the back - lit keyboard was a very nice feature , and it seemed like a good value for the price .","[('picture', 'display quality', 'positive', 'bright')]"
the internet download speed with the acer was akin to an old dial - up modem speed .,"[('internet download speed with the acer', 'ports connectivity', 'negative', 'null')]"
"as of this writing , the computer ' s dedicated video card is completely non - functional , the computer routinely switches off in the middle of executing a process , and i can ' t even use the hdmi out port .","[(""computer ' s dedicated video card"", 'multimedia devices general', 'negative', 'non - functional')]"
however with that being said i bought this laptop about 3 days ago and it ' s already not working .,"[('laptop', 'laptop operation performance', 'negative', 'null')]"
i called acer tech support but nothing worked .,"[('acer tech support', 'support general', 'negative', 'null')]"
will not recommend it .,"[('null', 'laptop general', 'negative', 'not recommend')]"
it is an ok laptop .,"[('laptop', 'laptop general', 'neutral', 'ok')]"
the problem with it is that it freezes from time to time .,"[('null', 'laptop operation performance', 'negative', 'null')]"
"this looks too big , it ' s just 1 day of use so far this is my review .","[('null', 'laptop design features', 'negative', 'big')]"
my computer was used on average a couple hours a day .,"[('computer', 'laptop general', 'neutral', 'null')]"
"11 months after the purchase , it died .","[('null', 'laptop general', 'negative', 'died')]"
"it worked great , no issues besides the mouse began to freeze when the computer was idled for too long .","[('mouse', 'keyboard operation performance', 'negative', 'null')]"
"first one had a white line on the screen , then went and got a replacement , not even six months into this one and the graphics card failed .","[('screen', 'display operation performance', 'negative', 'null')]"
nice computer that came with a bad fan .,"[('computer', 'laptop general', 'positive', 'nice')]"
"the problem is a complete lack of local hardware support in the us unless you happen to live in temple , tx .","[('hardware support', 'support general', 'negative', 'null')]"
i am giving this a one star because of its faulty design .,"[('design', 'laptop design features', 'negative', 'faulty')]"
the screen sits too close to the keyboard and you will end up with scratches on the screen .,"[('keyboard', 'keyboard design features', 'negative', 'null')]"
laptop failed after only six months of use .,"[('laptop', 'laptop quality', 'negative', 'failed')]"
worked fine until 3 months after i bought it .,"[('null', 'laptop general', 'positive', 'fine')]"
laptop was working fine until just under 3 months of use when it bsod ' d and wouldn ' t turn back on .,"[('laptop', 'laptop operation performance', 'positive', 'fine')]"
"looking past the bsod problem , the battery is internal so you can ' t just pop it off , you need access the mobo just to replace it .","[('battery', 'battery design features', 'negative', 'null')]"
"this laptop ' s construction is cheap and flimsy , the battery is not removable and the back case is nearly impossible to take off without damaging it .","[(""laptop ' s construction"", 'laptop design features', 'negative', 'cheap')]"
it would not start up after 2 months of purchase and then re - set button didn ' t work .,"[('null', 'laptop general', 'negative', 'null')]"
its a good computer for the price but it needs to work awhile without crashing within 6 months .,"[('computer', 'laptop price', 'positive', 'good')]"
"the touchpad is quite sensitive i ' ve noticed , not a big issue to me .","[('touchpad', 'hardware operation performance', 'neutral', 'sensitive')]"
"i will keep my rating at 3 stars , as the issues with the screen quality / shine - and volume / brightness keys being unusable and nonexistent , to be large issues for me .","[('screen', 'display quality', 'negative', 'null')]"
"the laptop build is cheap looking and basic , but functional to say the least while i save up money .","[('laptop build', 'laptop quality', 'positive', 'cheap looking')]"
"i will say , however , that the screen is kind of awful .","[('screen', 'display quality', 'negative', 'awful')]"
"it looks awful , feels awful .","[('null', 'laptop design features', 'negative', 'awful')]"
"overall i have to remind myself that this laptop is only 600 dollars , and with certain gains i ' ll lose some things unless i ' m willing to spend out of budget .","[('laptop', 'laptop price', 'neutral', 'null')]"
this item is two months old and the power button repeatedly does not work .,"[('power button', 'out of scope operation performance', 'negative', 'null')]"
screen broke 2 weeks after having it .,"[('screen', 'display quality', 'negative', 'null')]"
i had this laptop repaired within the first 6 months of owning it .,"[('laptop', 'laptop general', 'negative', 'null')]"
works good but right click on mouse pad wont wok have to use external mouse,"[('null', 'laptop operation performance', 'positive', 'good')]"
"when i play a game , there is noise on the screen .","[('screen', 'display operation performance', 'negative', 'null')]"
the laptop itself seemed fine at first .,"[('laptop', 'laptop general', 'positive', 'fine')]"
but the backlit keyboard was no longer lighting - up and the computer would no longer turn - on or boot .,"[('backlit keyboard', 'keyboard operation performance', 'negative', 'null')]"
"i left it plugged in to charge for the night and tried it again the next morning , with the same results of not being able to turn it back on .","[('null', 'laptop general', 'negative', 'null')]"
"at this point i no longer trusted this model and was afraid of having the same issue with a replacement if i exchanged it , and then not having enough time to do another exchange and still be able to charge and configure it in time to wrap and put under the christmas tree for my son , so i contacted amazon and they gladly e - mailed me a return shipping label and refunded my money in full in 3 days , after receiving it back from me .","[('model', 'laptop general', 'negative', 'afraid')]"
"i hate to knock acer as they ' re the only brand i ' ve ever purchased and this is the first major issue i ' ve ever had with them , but it was frustrating spending that much time charging and almost finishing the configurations and set - up of a brand - new product and then not being able to turn it on to use it .","[('acer', 'company general', 'negative', 'null')]"
"then i called amazon - acer again , the customer service was good !","[('null', 'support general', 'positive', 'good')]"
"overall this is a very capable machine , better life is great as well .","[('machine ,', 'laptop general', 'positive', 'capable')]"
"not sure if this is simply a deal accident , but my ssd failed within 4 months .","[('ssd', 'hard disc operation performance', 'negative', 'failed')]"
"but the battery was giving erroneous feedback and getting too hot while charging , the keyboard was way too sensitive for me , and the cover / lid was a really cheaply made .","[('battery', 'battery operation performance', 'negative', 'erroneous')]"
"i got the computer working fine i set everything up linked it to my phone ect , then i had steam messages open , discord open and watching youtube and the screen again froze completely no audio no nothing just a frozen screen displaying youtube .","[('screen', 'display operation performance', 'negative', 'null')]"
it had hard failure after a month and i had to send it our for a service .,"[('null', 'laptop operation performance', 'negative', 'failure')]"
power turning on failed .,"[('power', 'power supply operation performance', 'negative', 'failed')]"
computer wo n ' t turn on have had it less then a year .,"[('computer', 'laptop operation performance', 'negative', 'null')]"
the laptop died after just one month .,"[('laptop', 'laptop operation performance', 'negative', 'died')]"
"poor screen quality , extremely dim , lacks clarity , slow photo uploads .","[('screen quality', 'display quality', 'negative', 'poor')]"
"received it , launched up a game , cpu reaches 99 degrees celsius , game crashes .","[('cpu', 'cpu operation performance', 'negative', 'crashes')]"
"twice in 10 days i had an issue , pointer , where they said turn it over and put a pin in it .","[('pointer', 'out of scope operation performance', 'negative', 'null')]"
"it ' s far too early in this machine ' s life to be encountering problems , the company has very poor customer service , and i would strongly recommend against purchasing .","[('company', 'company general', 'negative', 'poor')]"
"it works well , but the only thing i don ' t like about it is that it makes it extremely difficult to find things that i ' m looking for .","[('null', 'laptop operation performance', 'positive', 'well')]"
"the computer hold its ground , but it has specs to be a killer .","[('computer', 'laptop general', 'neutral', 'null')]"
barely have it for 6 months and everything ' s going haywire .,"[('null', 'laptop general', 'negative', 'haywire')]"
now i ca n ' t even get into my laptop because the startup is all jacked up .,"[('laptop', 'laptop general', 'negative', 'null')]"
"however , the 1 - star review is due to the advertising with the computer .","[('computer', 'laptop general', 'negative', 'null')]"
battery is not as long,"[('battery', 'battery operation performance', 'negative', 'null')]"
buyer beware - computer is complete trash .,"[('computer', 'laptop general', 'negative', 'trash')]"
it just freezes up on you .,"[('null', 'laptop operation performance', 'negative', 'null')]"
super off balance with respect to screen .,"[('screen', 'display general', 'negative', 'off balance')]"
keyboard lighting is primitive and keeps shutting off .,"[('keyboard lighting', 'keyboard design features', 'negative', 'primitive')]"
"the battery life is around 2 hrs , not 10 + as advertised .","[('battery life', 'battery operation performance', 'negative', 'null')]"
i have had good luck with acer products but this pc was my 1st time i needed them for technical support .,"[('pc', 'laptop general', 'negative', 'null')]"
i call acer support and after an hour they can not help me .,"[('acer support', 'support quality', 'negative', 'null')]"
bought an acer computer that did not work .,"[('acer computer', 'laptop usability', 'negative', 'null')]"
i ' ve called apple support numerous times and was never asked if i had the ability to read words as i ' m actually reading words .,"[('apple support', 'support general', 'negative', 'null')]"
thank you to amazon for taking this brick of acer garbage back .,"[('amazon', 'company general', 'positive', 'thank you')]"
could have been a great computer if not for the terrible keyboard construction .,"[('computer', 'laptop general', 'positive', 'great')]"
"constantly got the blue screen , already tryed everything to fix it .","[('blue screen', 'laptop operation performance', 'negative', 'null')]"
the seller doesn ' t reply my e - mails,"[('seller', 'support quality', 'negative', 'null')]"
i ' ve had this for 3 days and so far the laptop is fine .,"[('laptop', 'laptop general', 'positive', 'fine')]"
i ' m seriously considering returning it !,"[('null', 'laptop general', 'negative', 'null')]"
i don ' t want bluetooth speakers .,"[('bluetooth speakers', 'multimedia devices general', 'negative', 'null')]"
i would not buy this again !,"[('null', 'laptop general', 'negative', 'null')]"
good touchpad,"[('touchpad', 'hardware general', 'positive', 'good')]"
below medium build quality,"[('build quality', 'laptop quality', 'negative', 'below medium')]"
usb ports are too hard to plug and unplug,"[('usb ports', 'ports usability', 'negative', 'hard')]"
comes with hdd and this makes this laptop very slow,"[('hdd', 'hard disc operation performance', 'negative', 'slow')]"
about 4 hours of battery,"[('battery', 'battery operation performance', 'neutral', 'null')]"
maintenance and opening case is too hard,"[('null', 'laptop usability', 'negative', 'hard')]"
"in contrast of that , this laptop ' s cpu is very powerful .","[(""laptop ' s cpu"", 'cpu operation performance', 'positive', 'powerful')]"
"on the other hand , it is not an easy task to open and replace hdd .","[('hdd', 'hard disc design features', 'negative', 'null')]"
i don ' t understand this kind of design .,"[('design', 'laptop design features', 'negative', 'null')]"
i can enjoy the real potential of this laptop .,"[('laptop', 'laptop operation performance', 'positive', 'enjoy')]"
1 ) the delete button is right next to the power button,"[('delete button', 'keyboard design features', 'negative', 'null')]"
2 ) slow start up and performance given,"[('null', 'laptop operation performance', 'negative', 'slow')]"
"it ' s fast at processing , fast for web browsing and has a quick startup .","[('null', 'laptop operation performance', 'positive', 'fast')]"
"in seconds , even with an hdd it ' s still starts up in seconds .","[('starts up', 'laptop operation performance', 'positive', 'null')]"
the fingerprint sensor is a nice touch and the color and feel of the laptop material is also nice .,"[('fingerprint sensor', 'hardware operation performance', 'positive', 'nice')]"
there is really no excuse why it can ' t have one .,"[('null', 'laptop design features', 'negative', 'null')]"
it has the specs but that ' s it ' s main downfall .,"[('specs', 'laptop general', 'negative', 'downfall')]"
"15 ` ` screen , full sized keyboard and speed fast enough for some low quality games such as lol .","[('keyboard', 'keyboard design features', 'positive', 'null')]"
"it ' s light and thin , and overall the screen is pretty good .","[('null', 'laptop design features', 'positive', 'light')]"
"the hdd that comes with the computer is slow and loud , in fact the computer is not usable by todays standard , it ' s terribly slow .","[('null', 'laptop usability', 'negative', 'not usable')]"
"after the ssd upgrade , the computer is very fast .","[('computer', 'laptop operation performance', 'positive', 'fast')]"
the build quality is cheap .,"[('build quality', 'laptop quality', 'negative', 'cheap')]"
everything is plastic .,"[('null', 'laptop design features', 'negative', 'plastic')]"
the hard drive sounds like a distant lawn mower .,"[('hard drive', 'hard disc operation performance', 'negative', 'null')]"
this thing is slow !,"[('null', 'laptop operation performance', 'negative', 'slow')]"
i ' m trying to do online college college courses with it and it gets hung up in some intimate nevernever land of unresponsiveness .,"[('null', 'laptop operation performance', 'negative', 'unresponsiveness')]"
- the audio for this laptop was poorly planned out .,"[('audio for this laptop', 'multimedia devices design features', 'negative', 'poorly')]"
so the audio can easily be muffled .,"[('audio', 'multimedia devices operation performance', 'negative', 'null')]"
"- even so those are forgivable offenses compared to the next and worst thing , the touchpad .","[('touchpad', 'hardware general', 'negative', 'worst')]"
this laptop ' s tocuhpad is by far the worst i have ever used .,"[(""laptop ' s tocuhpad"", 'hardware general', 'negative', 'worst')]"
"i bought 2 , one stopped working after 9 months , was sent for ` ` repair ` ` it wasn ' t came right back with the same issue .","[('null', 'laptop quality', 'negative', 'null')]"
"the other one had the same issue after 9 months of use , wasn ' t used right away when purchased .","[('null', 'laptop quality', 'negative', 'null')]"
"the customer service is the worst i have ever experienced , asking the same questions over and over , not helpful at all .","[('customer service', 'support general', 'negative', 'worst')]"
do not buy !,"[('null', 'laptop general', 'negative', 'null')]"
"today tried to turned it on , but to a blank screen !","[('blank screen', 'laptop operation performance', 'negative', 'null')]"
this is a painfully slow computer .,"[('computer', 'laptop operation performance', 'negative', 'painfully')]"
- acceptable amount of flex,"[('flex', 'laptop design features', 'positive', 'acceptable')]"
- fingerprint reader is working well,"[('fingerprint reader', 'hardware operation performance', 'positive', 'well')]"
- track pad is accurate,"[('track pad', 'hardware operation performance', 'positive', 'accurate')]"
- screen looks good,"[('screen looks', 'display design features', 'positive', 'good')]"
- took literally 5 + hours for windows update / setup,"[('windows', 'os operation performance', 'negative', 'null')]"
- the webcam is a bad joke,"[('webcam', 'multimedia devices general', 'negative', 'bad')]"
the hard drive is definitely slow .,"[('hard drive', 'hard disc operation performance', 'negative', 'slow')]"
"after only a little over a month , it totally died and will not work at all .","[('null', 'laptop quality', 'negative', 'died')]"
i love asus but this one is super slow !,"[('asus', 'company general', 'positive', 'love')]"
extremely slow .,"[('null', 'laptop operation performance', 'negative', 'slow')]"
very junky,"[('junky', 'laptop general', 'negative', 'junky')]"
sound went out in less than a week .,"[('sound went', 'multimedia devices operation performance', 'negative', 'null')]"
this item cost me money .,"[('null', 'laptop general', 'negative', 'null')]"
"after running through the setup wizard , the laptop failed to boot .","[('laptop', 'laptop operation performance', 'negative', 'failed')]"
"though it is competitively priced for the specs , the laptop felt cheap .","[('specs', 'laptop price', 'positive', 'competitively')]"
i eventually returned it .,"[('null', 'laptop general', 'negative', 'null')]"
ordered in november 2017 but used fewer than 100 hours when vertical red line appeared on monitor .,"[('monitor', 'display quality', 'negative', 'null')]"
"they are clearly working with more than one person at a time , and not effective multi - taskers .","[('null', 'support general', 'negative', 'not effective')]"
laptop screen goes blank after four weeks minimally used .,"[('laptop screen', 'display operation performance', 'negative', 'null')]"
then it would not boot up .,"[('null', 'laptop operation performance', 'negative', 'null')]"
screen turn black and won ' t turn on within a month rarely use .,"[('screen', 'display quality', 'negative', 'null')]"
- excellent cpu,"[('cpu', 'cpu general', 'positive', 'excellent')]"
- good ram,"[('ram', 'memory general', 'positive', 'good')]"
then the light bleed becomes annoying and distracting .,"[('light bleed', 'display operation performance', 'negative', 'annoying')]"
- the hard drive is really slow and really loud .,"[('hard drive', 'hard disc operation performance', 'negative', 'slow')]"
"overall : the specs for this computer looked pretty good , but after using it for a few weeks , the negatives outweigh the positives , and i ' m going to have to return it .","[('specs for this computer', 'laptop design features', 'positive', 'good')]"
beware this product seems to have no quality control .,"[('product', 'laptop quality', 'negative', 'null')]"
i was using it and the screen started to flicker and then went completely dim .,"[('screen', 'display operation performance', 'negative', 'flicker')]"
also tech support gave incorrect product info !,"[('tech support', 'support general', 'negative', 'null')]"
it ' s a good enough laptop .,"[('laptop', 'laptop general', 'positive', 'good')]"
customer service told me it ' s faulty,"[('customer service', 'support general', 'negative', 'faulty')]"
power plug doesn ' t fit well - connection is erratic .,"[('power plug', 'power supply connectivity', 'negative', ""' t fit well"")]"
the vivobook f510ua is a great laptop with fantastic specs .,"[('vivobook f510ua', 'laptop general', 'positive', 'great')]"
however i ' m happy to report that the keyboard is great and i ' ve already gotten use to it .,"[('keyboard', 'keyboard general', 'positive', 'happy')]"
with my first day of use everything was terribly slow and updates took hours .,"[('null', 'laptop operation performance', 'negative', 'terribly')]"
be prepared to wait a good five hours give or take until the system runs smoother .,"[('system', 'os operation performance', 'positive', 'good')]"
2 ssd as it will not fit the slot available .,"[('ssd', 'hard disc design features', 'negative', 'null')]"
2 stars taken for horrible sound quality,"[('sound quality', 'multimedia devices quality', 'negative', 'horrible')]"
this computer completely shut down after 2 months .,"[('computer', 'laptop quality', 'negative', 'null')]"
i can ' t get it to work at all .,"[('null', 'laptop operation performance', 'negative', 'null')]"
it ' s one of the worst laptops i ' ve ever had .,"[('laptops', 'laptop general', 'negative', 'worst')]"
this is junk .,"[('null', 'laptop general', 'negative', 'junk')]"
it is going on 3 hours now and is only 17 % done .,"[('null', 'os operation performance', 'negative', 'null')]"
the item is good but the sound of speakers is very low .,"[('item', 'laptop general', 'positive', 'good')]"
"otherwise , it has everything i can / might / could love .","[('null', 'laptop general', 'positive', 'love')]"
my only other complaint is trackpad sensitivity .,"[('trackpad sensitivity', 'hardware operation performance', 'negative', 'complaint')]"
"having win 10 is already a horrible mistake as so , but if you try to install win 8 , drivers won ' t work properly !","[('win 8', 'os operation performance', 'negative', 'null')]"
"this computer freeze , reboots , and crashes in a regular basis if you ' re trying to do multiple stuff at once .","[('computer', 'laptop operation performance', 'negative', 'crashes')]"
screen maximum brightness is still not bright enough,"[('screen', 'display operation performance', 'negative', 'null')]"
two stars because the current laptop i have works great .,"[('laptop', 'laptop operation performance', 'positive', 'great')]"
"it felt flimsy , but decent .","[('null', 'laptop design features', 'negative', 'flimsy')]"
"very slow , and always hangs","[('null', 'laptop operation performance', 'negative', 'slow')]"
it ' s a pretty good laptop .,"[('laptop', 'laptop general', 'positive', 'good')]"
"nicely sized , thin and portable , the works .","[('null', 'laptop design features', 'positive', 'nicely')]"
the only issue i ' m having is battery life .,"[('battery life', 'battery operation performance', 'negative', 'null')]"
"thing says 8 hours , but i can guarantee it ' s not making it past 4 or 5 .","[('null', 'battery operation performance', 'negative', 'null')]"
but yeah overall good,"[('null', 'laptop general', 'positive', 'good')]"
"it runs pretty fast but the keyboard is not lit , the speakers are on the bottom and the track pad is a pos .","[('null', 'laptop operation performance', 'positive', 'fast')]"
besides that it runs ok,"[('null', 'laptop operation performance', 'neutral', 'ok')]"
update - dead pixel in middle screen .,"[('screen', 'display quality', 'negative', 'dead')]"
"replacement ordered and arrived , upon first ten minutes of use the keyboard stops working and is barely functioning sound on max is extremely undesirable .","[('keyboard', 'keyboard quality', 'negative', 'null')]"
second update - speakers no longer work after 1 month of use .,"[('speakers', 'multimedia devices quality', 'negative', 'null')]"
"runs ok , cheapish , good for price i guess","[('null', 'laptop operation performance', 'neutral', 'ok')]"
the battery broke after just 4 months from baying it am so disappointed with the product,"[('battery', 'battery quality', 'negative', 'disappointed')]"
do not buy this laptop .,"[('laptop', 'laptop general', 'negative', 'null')]"
i returned it twice .,"[('null', 'laptop general', 'negative', 'null')]"
and when it did work it was very slow .,"[('null', 'laptop operation performance', 'negative', 'slow')]"
"windows 10 alone runs slow on this but once you install some 3rd party programs like adobe photoshop or illistrator , this laptop is unuseable .","[('windows 10', 'os operation performance', 'negative', 'slow')]"
"even having a couple of programs open & running , slows down the overall performance of the system dramatically .","[('system', 'os operation performance', 'negative', 'null')]"
"i ' ve been waiting for this chromebook for some time now and having only had it for about two weeks , i can say that the device and purchase were well worth it .","[('chromebook', 'laptop general', 'positive', 'well worth')]"
"5 ` ` ips screen that is gorgeous to look at , extremely bright and full 1080p resolution .","[('null', 'display design features', 'positive', 'gorgeous')]"
"a solid little m3 processor , 4gb of ram and 64gb of ssd storage make this machine capable of handling heavy usage and earn it a solid octane 2 .","[('ram', 'memory operation performance', 'positive', 'null')]"
"the surface texture of the case is a satiny paper - like touch , which is both clean and easy to wipe down , but also not so smooth that you have to be concerned with it slipping out of your hand when carrying it .","[('surface texture of the case', 'laptop design features', 'positive', 'clean')]"
"even with the 2 - in - 1 flip hinge , the device has a solid feel and there ' s very little wobble in the screen while typing .","[('screen', 'display usability', 'positive', 'null')]"
the pop - up keyboard looks just like the android screen keyboard and the orientation detection and capacitive touch screen are snappy and very responsive .,"[('touch screen', 'display operation performance', 'positive', 'snappy')]"
one place that does frustrate me in the tablet mode is that chromeos has a number of ui features that don ' t lend themselves to touch interaction .,"[('chromeos', 'os design features', 'negative', 'frustrate')]"
"it has a glassy - smooth surface that resists finger - prints and goop , is very large , and has a firm but not too - clunky feeling click to it .","[('surface', 'display design features', 'positive', 'glassy')]"
it takes up more than 1 / 3rd of the palm - area horizontal space and makes thumb - tapping mouse tweaks very easy .,"[('null', 'display design features', 'positive', 'easy')]"
"finally , there are the ports .","[('ports', 'ports general', 'negative', 'null')]"
"- beautiful , bright ips screen with full 1080p resolution","[('screen', 'display design features', 'positive', 'beautiful')]"
- backlit keyboard rocks,"[('backlit keyboard', 'keyboard design features', 'positive', 'null')]"
- battery life is pretty amazing at 10 - 11hrs,"[('battery life', 'battery operation performance', 'positive', 'amazing')]"
- 4gb ram cap .,"[('ram', 'memory operation performance', 'neutral', 'null')]"
- many ui elements are not user - friendly in tablet mode,"[('ui elements', 'os operation performance', 'negative', 'not user - friendly')]"
- port minimalism .,"[('port', 'ports portability', 'negative', 'null')]"
"out of the box , the asus c302ca is a powerhouse for stock chromeos usage .","[('asus c302ca', 'laptop general', 'positive', 'null')]"
"performance - wise , i can easily have 12 - 24 tabs open simultaneously and see no slow - down in performance .","[('null', 'os operation performance', 'positive', 'null')]"
one place that i find lacking in chromeos is the settings management .,"[('chromeos', 'os design features', 'negative', 'null')]"
for the most - part you don ' t have much freedom to make any significant changes to settings .,"[('null', 'software design features', 'negative', 'null')]"
- clean and secure operating system that is very lean and gets the most out of the systems modest specs,"[('operating system', 'os design features', 'positive', 'clean')]"
"- with the combination of web - based productivity tools and development apps / services , this chromebook can provide a breadth of very viable usage scenarios without bogging the system down with locally install applications .","[('chromebook', 'laptop operation performance', 'positive', 'null')]"
- android apps and google play store are real game changers for the chromeos landscape .,"[('google play store', 'software general', 'positive', 'null')]"
"- boot time , sleep time and wake time are crazy fast .","[('boot time', 'os quality', 'positive', 'crazy')]"
- system settings could be more robust and better organized,"[('system settings', 'os design features', 'neutral', 'robust')]"
- tablet - mode still needs some work .,"[('null', 'laptop operation performance', 'negative', 'null')]"
"so , this is where this little chromebook really shines .","[('chromebook', 'laptop general', 'positive', 'shines')]"
"apps start very fast , graphics are much more responsive and capable when not being shared with chromeos and there are a number of ways you can tweak the ui / ux to your own liking .","[('graphics', 'graphics usability', 'positive', 'responsive')]"
"all that being said , you get a lot of bang for the buck with these three enhanced desktop / application options and i use all three in some capacity every day , so don ' t think your ' e isolated to just one approach .","[('desktop / application options', 'software general', 'positive', 'null')]"
"while the stock aluminum case is darn solid enough , it can take scratches easily from things like keys or cable connectors tossed in a bag with it .","[('stock aluminum case', 'laptop quality', 'positive', 'solid')]"
"d ) a bluetooth mouse - while this unarguably has one of the best trackpads in chromebook land , there are still times you just need the precision of a mouse .","[('trackpads', 'hardware general', 'positive', 'best')]"
"0 type - a low - profile memory stick on a usb - c adaptor , but that would be silly .","[('usb - c adaptor', 'ports general', 'negative', 'silly')]"
it was an excellent machine for the money and it also got me spoiled with its touch screen .,"[('machine', 'laptop price', 'positive', 'excellent')]"
this made me realize that arm processors are not ready for desktop - class browsing .,"[('arm processors', 'cpu general', 'negative', 'null')]"
"let me tell you , this thing is snappy .","[('null', 'laptop operation performance', 'positive', 'snappy')]"
the build quality is nice and the hinge is sturdy .,"[('build quality', 'laptop quality', 'positive', 'nice')]"
the keyboard also feels nice and the backlighting is great .,"[('keyboard', 'keyboard general', 'positive', 'nice')]"
i use my chromebook a lot in the dark and it ' s a real treat .,"[('chromebook', 'laptop usability', 'positive', 'treat')]"
"while the chromebook pro does have a nice high - resolution 3 : 2 screen and the s - pen ( which is truly a gimmick anyway ) , it has half the storage , shorter battery life , and no backlit keyboard .","[('storage', 'memory design features', 'negative', 'null')]"
this is among the best .,"[('null', 'laptop general', 'positive', 'best')]"
"it ' s much smoother with web pages and android apps , and the touch screen is more responsive .","[('web pages', 'software operation performance', 'positive', 'smoother')]"
"keyboard is a bit nicer , not tons .","[('keyboard', 'keyboard general', 'positive', 'nicer')]"
"for casual use , this will work fine for me .","[('null', 'laptop general', 'positive', 'fine')]"
the default scaling 1536x864 looks excellent and sharp to me .,"[('default scaling', 'display operation performance', 'positive', 'excellent')]"
"there ' s nothing i do n ' t like about this device , so in order of importance , here ' s what i love about it .","[('device', 'laptop general', 'positive', 'love')]"
"i ' m typing this review in a dark room , and it reminds me how much i love this backlit keyboard .","[('backlit keyboard', 'keyboard operation performance', 'positive', 'love')]"
i love how quick this thing is .,"[('null', 'cpu operation performance', 'positive', 'love')]"
"this thing is n ' t that fast , but for loading web pages , it ' s pretty close .","[('null', 'cpu operation performance', 'positive', 'fast')]"
the brightness and clarity are awesome .,"[('brightness', 'display operation performance', 'positive', 'awesome')]"
"this is quality hardware , and it shows .","[('hardware', 'hardware quality', 'positive', 'quality')]"
"it ' s complementary , not revolutionary , which is much more intuitive and useful .","[('null', 'laptop general', 'positive', 'intuitive')]"
"again , this is where the build quality really shines .","[('build quality', 'laptop quality', 'positive', 'shines')]"
the microsd slot leaves an inserted card perfectly flush .,"[('microsd slot', 'ports operation performance', 'positive', 'perfectly')]"
"this flip 2 really is a fantastic chromebook , and the ability to run android apps only makes it better !","[('flip 2', 'laptop general', 'positive', 'fantastic')]"
"i absolutely love this beyond any computer / tablet device i have purchased in the last 10 years , trust me , i ' ve bought a lot of them along the way .","[('computer', 'laptop general', 'positive', 'love')]"
with the power of the internet and all the online productivity products the simplicity of this is fantastic .,"[('null', 'laptop usability', 'positive', 'fantastic')]"
the addition of the play store puts the device into a sweet spot no other device can come close to matching .,"[('device', 'laptop design features', 'positive', 'sweet')]"
this asus chromebook fits the bill .,"[('asus chromebook', 'laptop general', 'positive', 'null')]"
can ' t say enough about my love of this chromebook .,"[('chromebook', 'laptop general', 'positive', 'love')]"
then the asus flip c302 came into my life :,"[('asus flip c302', 'laptop general', 'neutral', 'null')]"
"speaking of charges , it ' s so nice to be able to use usb c .","[('usb c', 'ports general', 'positive', 'nice')]"
our phones are usb c so one cable does everything for me .,"[('usb c', 'ports general', 'neutral', 'null')]"
* keyboard * - the keyboard is alright .,"[('null', 'keyboard general', 'neutral', 'alright')]"
* track pad * - the trackpad is well done .,"[('track pad', 'keyboard design features', 'positive', 'well')]"
80 % of the apps it ' s a poor experience .,"[('apps', 'software quality', 'negative', 'poor')]"
the asus c302 is the best chromebook you can buy .,"[('asus c302', 'laptop general', 'positive', 'best')]"
the touch screen is super responsive and the keyboard is excellent .,"[('touch screen', 'display operation performance', 'positive', 'responsive')]"
